rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,stats_number_students,stats_student_staff_ratio
1,University of Oxford,98.5,96.6,100,99,98.7,97.5,22,10.9
2,Stanford University,98,99,97.8,99.6,100,87,15,6.4
3,Massachusetts Institute of Technology,97.9,98.6,96.2,99.7,100,93.8,11,8
4,Harvard University,97.8,97.7,99.9,99.4,84.2,90.8,20,9
5,University of Cambridge,97.5,95.8,100,98,87.9,97.4,21,11.5
6,Princeton University,96.9,96.3,97.9,98.8,95.1,89.1,8,7.3
7,California Institute of Technology,96.5,96.6,98,95.9,100,90.6,2,6.1
8,Imperial College London,95.1,90.9,95.5,98.6,90.9,98.3,20,11.8
9,University of California. Berkeley,94.6,87.2,98.8,99,99.4,86.8,40,17.9
10,Yale University,94.2,94,94.9,97.7,86.5,82.4,12,5.2
11,ETH Zurich,93.1,87.6,96.8,95.6,82.9,95.6,23,15.4
12,Tsinghua University,92.4,95.3,98.1,93.2,99.9,51.7,39,11.2
13,The University of Chicago,92.1,89.6,91.2,97.6,93.8,82.3,16,6.2
14,Peking University,91.8,95.6,97.3,87.2,98.8,70.2,33,10.9
15,Johns Hopkins University,91.1,84.4,92.3,97.2,100,84.2,16,4.1
16,University of Pennsylvania,91.1,87.7,89.7,97.6,97.7,78.8,21,6.2
17,Columbia University,90.9,88.6,89.7,97.4,75.2,86.9,26,5.2
18,University of California. Los Angeles,90.1,85.7,91.9,96.4,92.3,74.3,43,9.6
19,National University of Singapore,90,78.8,94,95.4,100,91.1,33,20
20,Cornell University,89.5,85.7,88.7,97.6,69.4,86,24,10
21,University of Toronto,88.6,77.5,94.1,92.8,96.1,90.7,79,25.8
22,UCL,88.1,78.4,86.4,98.6,75.2,97.9,41,11.3
23,University of Michigan-Ann Arbor,87.4,84.7,87.4,95.5,80.7,69,46,8.1
24,Carnegie Mellon University,86.3,75,84.6,98.9,87.3,85.5,14,11.9
25,University of Washington,85.3,78,83.5,98.2,77.6,73.2,49,10.1
26,Duke University,83.9,79.3,76.1,96.2,100,74.8,16,3.9
27,New York University,83.5,73.2,84,94.9,75.4,80.7,48,11.8
28,Northwestern University,83.2,72.3,78.8,97.8,99.7,75.9,19,13.1
29,The University of Tokyo,83.1,93.9,94.2,67.8,100,49.7,26,10.3
30,University of Edinburgh,82.5,70.7,77.5,96.9,71.1,97,34,11.5
30,Technical University of Munich,82.5,69.8,85.1,90,100,83.1,36,44.4
32,Nanyang Technological University. Singapore,82.3,66.2,80.9,94.5,99.7,93.3,26,16.7
33,École Polytechnique Fédérale de Lausanne,81.4,74.5,73.2,90.3,99.8,95.8,13,13.5
34,University of California. San Diego,81,66,78.4,97.6,100,74.3,41,12
35,University of Hong Kong,80.3,65.6,72.3,96.4,95.2,96.8,18,18.3
36,Georgia Institute of Technology,80,63.4,78.9,94.1,94.6,84.8,32,28
37,University of Melbourne,79.2,64.8,76.4,90.1,98.3,92.7,51,25.1
38,King’s College London,79,59.8,75.1,97.7,74.2,97.5,33,13.9
38,LMU Munich,79,65.3,76.8,92.2,100,76.9,35,33.5
40,Paris Sciences et Lettres – PSL Research University Paris,78.5,75.7,72.8,83.2,99.7,81.6,16,15
41,University of British Columbia,78,62.5,76.6,90.5,76.7,95,59,19.4
42,University of Illinois at Urbana-Champaign,77.9,69.5,81.5,85.2,85.3,64,50,19.6
43,Shanghai Jiao Tong University,77.7,76.6,82.5,75.4,100,60.6,38,12.6
44,Fudan University,77.5,76.5,75.3,83.5,96,56.1,38,12.6
45,KU Leuven,77,60.1,74.9,91.9,100,79.6,49,37.3
46,London School of Economics and Political Science,76.8,59.5,73.5,95.4,55.9,94.1,12,12.6
47,Universität Heidelberg,76.7,67.7,64.3,94.6,99.3,76.4,19,13.3
48,Delft University of Technology,76.3,66.7,78.2,76.5,100,92.8,21,15.9
49,McGill University,76,62.3,72.3,88.8,76.1,92.5,31,11.9
50,Karolinska Institute,75.9,58.9,67.9,95.3,96,85.7,8,9.9
51,University of Manchester,75.6,61.4,67.1,93.1,73.1,95.6,41,15.6
52,University of Texas at Austin,75.5,66,75.7,91,81.4,47.3,49,16.4
53,Chinese University of Hong Kong,75.4,59.1,61.5,97.6,95.9,93.6,18,18.8
54,Monash University,75.2,55.3,67.8,94.7,99.7,91.1,58,43.1
55,Kyoto University,75,85.4,84.3,60,100,45.7,22,9
55,Zhejiang University,75,70.2,75.3,78.7,99,65.5,48,12
57,University of Science and Technology of China,74.8,74.3,66.3,88.2,95.6,45.4,20,8.1
58,Université Paris-Saclay,74.4,70.9,66.1,82.4,92.4,78.6,32,13
59,University of California. Davis,74.1,63.7,67.8,87.2,91.5,78.7,38,13.3
60,The University of Sydney,73.8,52.6,68.9,92,97.7,90.2,57,23.1
61,University of Amsterdam,73.6,55,63.1,96.7,77.6,93.2,29,13.2
62,Seoul National University,73.4,74.2,75.3,74.6,100,43.7,29,16.1
63,University of Wisconsin-Madison,73.3,68.5,67.5,85.5,79.8,62.8,41,9.9
64,Brown University,73,69.8,59.6,89.7,69.3,72.1,10,10.3
64,The Hong Kong University of Science and Technology,73,54,62.1,92.9,100,95.5,10,19.9
64,Wageningen University & Research,73,56.4,59.8,93.8,98.8,92.4,16,18.1
67,Australian National University,72.6,55.9,68,86.6,82,94.8,17,15.1
68,Washington University in St Louis,72.3,60.8,57.2,97.5,77.8,72.7,14,7.3
69,University of California. Santa Barbara,72.1,47.4,64.7,96.9,99.4,84,26,27.5
70,The University of Queensland,72,52.9,64.3,89.1,99.8,94,43,39.1
71,Institut Polytechnique de Paris,71.3,71,61.6,70.8,98.8,97.1,6,6.8
72,University of North Carolina at Chapel Hill,71.2,63.4,60.3,93.9,75.8,50.9,31,7.7
73,Nanjing University,70.9,64,61.7,85.3,96.8,61.8,37,16.7
74,University of Southern California,70.8,59.2,58.8,92.5,74.4,74.3,44,14.2
75,Sorbonne University,70.5,64.7,60.8,83.7,69.5,78.8,42,14.5
76,Yonsei University (Seoul campus),70.4,68.1,64.3,79.3,99.9,51.8,19,13.9
77,Leiden University,70.2,46,62.7,93,98.1,87.8,35,19.3
78,Boston University,70.1,59.6,54.1,94.3,76.4,74.1,27,10.8
79,University of Groningen,70,47.5,57.2,94.5,99.9,93.4,32,28.8
80,University of Zurich,69.9,54.8,53.4,91.8,93.7,92.4,26,14.7
81,University of Bristol,69.8,48.7,56.5,97.3,72.3,92.5,27,14.8
82,City University of Hong Kong,69.3,52.2,52.4,91.1,100,98.7,9,13.2
83,Korea Advanced Institute of Science and Technology (KAIST),69.2,67.1,65.8,77.4,100,41.6,10,10.7
84,UNSW Sydney,68.9,47.2,57.4,91.1,98.6,94.5,47,36.6
85,University of Minnesota,68.7,61,58.5,87.2,99.8,48.3,60,11.8
86,Purdue University West Lafayette,68.5,64,65.3,71.8,84.3,76.7,43,18.3
87,University of Glasgow,68.2,48.1,51.8,96.8,69.7,96.1,32,14.4
87,Hong Kong Polytechnic University,68.2,45.7,54.1,94.5,87.4,96.3,20,30.6
87,Humboldt University of Berlin,68.2,55.3,63.7,82.8,65.4,79,35,54.5
90,RWTH Aachen University,68,54.9,64.8,78.9,100,71.2,35,43.3
91,University of Bonn,67.8,51.7,57.7,89.7,82.6,73.8,26,44.5
92,University of California. Irvine,67.4,47.1,53.8,93.2,96.1,80.9,36,16.2
92,Vanderbilt University,67.4,54.1,48.5,96,96.5,62.9,13,3.9
94,Charité - Universitätsmedizin Berlin,67.2,47.5,49.1,97.7,100,75.2,9,17.5
95,Lomonosov Moscow State University,67,87.5,75.2,33.9,91.1,73.8,33,9.6
95,University of Tübingen,67,49.1,56.5,89,99.8,72,22,27.1
97,KTH Royal Institute of Technology,66.9,53.5,57.8,81,97.7,82.5,13,15.9
97,University of Southampton,66.9,48.9,50.1,92.7,73.1,96.5,20,13
99,Erasmus University Rotterdam,66.7,38.5,54.1,96.9,94.7,90.6,34,36
99,Ohio State University (Main campus),66.7,55.8,52.7,88.4,85,67.3,56,11.4
101,University of Birmingham,66.6,46.1,49.3,95.5,72.1,95.1,33,15.2
102,Free University of Berlin,66.5,52.1,59.7,82.5,71.6,82.4,25,41.5
103,University of Copenhagen,66.3,49.2,51.1,91.3,89.5,80.1,32,4.3
103,McMaster University,66.3,43.8,51.3,93,100,87.3,28,30.9
105,University of Sheffield,66.2,48,49.5,92.3,77.5,92,28,15.4
106,Emory University,66.1,53.1,45.7,95.5,81.6,69.3,13,4
106,Lund University,66.1,46.7,56.6,86.6,99.8,79.8,30,12
106,University of Warwick,66.1,48.1,52.1,89,70.5,96.4,25,14.4
109,Aarhus University,65.9,44.9,59,86.3,98.7,76.3,27,13.5
109,University of Alberta,65.9,50.1,55.5,80.9,99.9,90.7,34,22.8
111,University of Adelaide,65.8,42.4,50.6,92.8,95,92.9,24,36.4
111,University of Göttingen,65.8,50,54.8,90.1,70.8,70.7,23,27.4
111,University of Montreal,65.8,51.2,54.1,81.7,96.6,87.7,40,20.5
114,University of Maryland. College Park,65.7,49.4,58.1,92.8,70.2,48.6,34,17
115,Ghent University,65.6,47.2,59.3,85.3,99.7,65.7,41,37.6
116,University of Bern,65.4,45.1,47,93.3,99.2,87,12,18.2
116,Michigan State University,65.4,54.8,52.3,86.2,70,71.4,45,16.1
118,Texas A&M University,65.3,55.2,62.1,77.3,76.4,64.1,64,20.5
119,Rice University,65.2,56.4,45.6,86.5,73.9,85.8,7,9.8
119,University of Vienna,65.2,48.7,60.3,77.4,75.9,94.9,31,37.4
121,University of Helsinki,65.1,48.1,57.6,90.6,69.2,56.7,23,15.9
